ts_date,create_time,Id,Yield,price,ts_lag,twap_roll_1Min,twap_roll_10,time,diff,zcore-5,mean
2023-01-12 10:30:54,2023-01-12 10:30:54,PATRe1063042384350179330,0.02988,2.988,2,2.9877419354838706,2.989085496183206,10:30:54,0.0002580645161294193,1.9554881261268762,-0.00026973785261956705
2023-01-12 10:30:55,2023-01-12 10:30:55,BGC22022011009429943,0.029875,2.9875,1,2.987738095238095,2.9890830792682923,10:30:55,-0.00023809523809514843,-0.34430935816449815,-0.0001281249493936265
2023-01-12 10:30:59,2023-01-12 10:30:59,220220_235426191_20230112-10:30:,0.029881,2.9881,4,2.987673333333333,2.9891780730897013,10:30:59,0.0004266666666672414,1.7654265749429006,-9.223884237350433e-05
2023-01-12 10:30:59,2023-01-12 10:30:59,UEDAe1063042402256973828,0.029875,2.9875,0,2.987673333333333,2.9891780730897013,10:30:59,-0.0001733333333331366,-0.7887552378504021,7.097910634454863e-05
2023-01-12 10:31:12,2023-01-12 10:31:12,TJXT230112052024000000000172,0.029875,2.9875,13,2.9875921874999998,2.9891426016260163,10:31:12,-9.218749999995168e-05,-0.7585966373482369,0.00010799385560709141
2023-01-12 10:31:29,2023-01-12 10:31:29,PATRe1063042531343757313,0.02988,2.988,17,2.987721538461538,2.9890706953642385,10:31:29,0.0002784615384618938,0.9326341690290407,3.622302227368479e-05
2023-01-12 10:31:30,2023-01-12 10:31:30,TPSHe1063042534672084996,0.02988,2.988,1,2.9877257575757574,2.9890689256198346,10:31:30,0.0002742424242425656,0.8884131190775817,4.03024267401797e-05
2023-01-12 10:31:35,2023-01-12 10:31:35,BGC22022011009430030,0.029875,2.9875,5,2.9877328125,2.9890419301164726,10:31:35,-0.00023281250000017906,-1.612013585441054,0.0001427699592077225
2023-01-12 10:31:57,2023-01-12 10:31:57,PATRe1063042647588892673,0.029875,2.9875,22,2.987683870967742,2.988957355371901,10:31:57,-0.00018387096774219458,-0.8799426099617236,1.0874125874238415e-05
2023-01-12 10:31:59,2023-01-12 10:31:59,PATRe1063042657466478593,0.029875,2.9875,2,2.9876500000000004,2.9889403333333333,10:31:59,-0.0001500000000005386,-0.7116299333417379,8.766598992426821e-06
2023-01-12 10:31:59,2023-01-12 10:31:59,PATRe1063042657483255809,0.029875,2.9875,0,2.9876500000000004,2.9889403333333333,10:31:59,-0.0001500000000005386,-0.6415710628421696,-2.79590100769056e-06
2023-01-12 10:32:00,2023-01-12 10:32:00,TPSHe1063042658102063108,0.029875,2.9875,1,2.9876475409836063,2.9889379367720466,10:32:00,-0.0001475409836064756,-0.3211398785878679,-8.848820870017704e-05
2023-01-12 10:32:00,2023-01-12 10:32:00,TJXT230112052024000000000174,0.029875,2.9875,0,2.9876475409836063,2.9889379367720466,10:32:00,-0.0001475409836064756,0.7698483181150398,-0.0001728448902699853
2023-01-12 10:32:00,2023-01-12 10:32:00,TJXT230112052024000000000173,0.029875,2.9875,0,2.9876475409836063,2.9889379367720466,10:32:00,-0.0001475409836064756,0.5857765313277095,-0.0001557905869912446
2023-01-12 10:32:01,2023-01-12 10:32:01,BGC22022011009430089,0.029875,2.9875,1,2.9876451612903225,2.9889319999999997,10:32:01,-0.00014516129032271508,2.791891528823103,-0.0001485245901641008
2023-01-12 10:32:01,2023-01-12 10:32:01,BGC22022011009430084,0.029875,2.9875,0,2.9876451612903225,2.9889319999999997,10:32:01,-0.00014516129032271508,1.5654604350748142,-0.0001475568482285361
2023-01-12 10:32:01,2023-01-12 10:32:01,TJXT230112052024000000000175,0.029875,2.9875,0,2.9876451612903225,2.9889319999999997,10:32:01,-0.00014516129032271508,1.2247448689162528,-0.0001465891062929714
2023-01-12 10:32:02,2023-01-12 10:32:02,PATRe1063042667348258817,0.029875,2.9875,1,2.987642857142857,2.988929617304492,10:32:02,-0.00014285714285700024,2.792936712072722,-0.0001461131676362193
