ts_date,create_time,Id,Yield,price,ts_lag,twap_roll_5Min,twap_roll_10,time,diff,zcore-10,mean,zcore2-10-15
2023-01-12 10:04:03,2023-01-12 10:04:03,TPSHe1063035624774348801,0.029925,2.9925,0,2.9910394321766556,2.9909737096774194,10:04:03,0.001460567823344583,-1.1317991494991289,0.0015856253455459157,-0.5750635714969511
2023-01-12 10:04:05,2023-01-12 10:04:05,TPSHe1063035634643546118,0.029925,2.9925,2,2.9910485893416925,2.9909786173633446,10:04:05,0.0014514106583076725,-1.100622514810695,0.0015525383969934748,-0.6121592241074683
2023-01-12 10:04:10,2023-01-12 10:04:10,PATRe1063035656057417729,0.029925,2.9925,5,2.9910709876543207,2.990990749601276,10:04:10,0.0014290123456794923,-1.1722231920833337,0.0015300604152051367,-0.5975232638135752
2023-01-12 10:04:10,2023-01-12 10:04:10,TJXT230112052024000000000139,0.029925,2.9925,0,2.9910709876543207,2.990990749601276,10:04:10,0.0014290123456794923,-1.011176376619794,0.0015053048840964589,-0.6020563866776448
2023-01-12 10:04:21,2023-01-12 10:04:21,TPSHe1063035702490607620,0.029925,2.9925,11,2.9911179104477608,2.9910167711598747,10:04:21,0.0013820895522393961,-1.8848615037605139,0.0014805493529877812,-0.637459027644207
2023-01-12 10:04:24,2023-01-12 10:04:24,BGC22022011009428441,0.029925,2.9925,3,2.9911301775147927,2.991023712948518,10:04:24,0.0013698224852074503,-2.1322955723641455,0.0014585272851094012,-0.6429634091375195
2023-01-12 10:05:07,2023-01-12 10:05:07,TJXT230112052024000000000140,0.029925,2.9925,43,2.9919196141479096,2.9910685855263157,10:05:07,0.0005803858520905258,-22.246296662275974,0.0014411762002967787,-0.6359360689828295
2023-01-12 10:06:56,2023-01-12 10:06:56,220220_872949326_20230112-10:06:,0.029916,2.9916,109,2.992130939226519,2.9912621487603306,10:06:56,-0.0005309392265191448,-7.285718109651063,0.001348400453258236,-0.3438704549202664
2023-01-12 10:07:07,2023-01-12 10:07:07,TPSHe1063036397134458881,0.029925,2.9925,11,2.992165245901639,2.991284253246753,10:07:07,0.0003347540983611452,-1.3233601292206851,0.0011492497482718633,-0.2524363221468394
2023-01-12 10:07:24,2023-01-12 10:07:24,ICAP2202207000589213,0.029925,2.9925,17,2.992176237623762,2.991373311367381,10:07:24,0.0003237623762379904,-1.0964101983297085,0.0010366683757735196,-0.2760218790942041
2023-01-12 10:07:32,2023-01-12 10:07:32,TPSHe1063036501673291777,0.029925,2.9925,8,2.9921845659163986,2.991387967479675,10:07:32,0.00031543408360157343,-0.9131088972175051,0.0009229878310628604,-0.31050787682445175
2023-01-12 10:07:32,2023-01-12 10:07:32,TPSHe1063036501660708865,0.029925,2.9925,0,2.9921845659163986,2.991387967479675,10:07:32,0.00031543408360157343,-0.7453093374790327,0.0008084744570885594,-0.3535322046868441
2023-01-12 10:08:30,2023-01-12 10:08:30,BGC22022011009428725,0.029925,2.9925,58,2.9921972222222224,2.9914931893687706,10:08:30,0.00030277777777776294,-0.6140938931683642,0.0006948767996179494,-0.4018589915904387
2023-01-12 10:09:17,2023-01-12 10:09:17,PATRe1063036944908316673,0.029925,2.9925,47,2.9921804560260585,2.9916107765451665,10:09:17,0.00031954397394162726,-0.4400072094361739,0.0005822533428277765,-0.4552375505805518
2023-01-12 10:09:31,2023-01-12 10:09:31,ICAP2202207000589220,0.02995,2.995,14,2.992294462540716,2.9919832225913625,10:09:31,0.0027055374592839243,4.227062594368266,0.00047130650565399004,-0.5153937638572439
2023-01-12 10:09:31,2023-01-12 10:09:31,PATRe1063037001011326977,0.029925,2.9925,0,2.992294462540716,2.9919832225913625,10:09:31,0.0002055374592839776,-0.4834668106567913,0.0006036512963584429,-0.3545457419994298
2023-01-12 10:11:59,2023-01-12 10:11:59,220220_1191718316_20230112-10:11,0.029912,2.9912,148,2.991980528052805,2.9920689368770765,10:11:59,-0.0007805280528048186,-1.6078779915649346,0.00048722279376609554,-0.39645235524179506
2023-01-12 10:12:58,2023-01-12 10:12:58,220220_1242050455_20230112-10:12,0.029916,2.9916,59,2.9918542944785274,2.991997394136808,10:12:58,-0.0002542944785273171,-0.6931031797577211,0.0003511314032765611,-0.34848859016647765
2023-01-12 10:14:24,2023-01-12 10:14:24,PATRe1063038231964053505,0.029925,2.9925,86,2.9918143322475568,2.991985666666667,10:14:24,0.0006856677524433863,0.3613793445523266,0.00037879587807574386,-0.18350568900649547
2023-01-12 10:14:58,2023-01-12 10:14:58,220220_1376269278_20230112-10:14,0.029915,2.9915,34,2.9916452599388377,2.9919596214511044,10:14:58,-0.0001452599388378495,-0.6548457580057846,0.000413887243483968,-0.08712497252481223
2023-01-12 10:15:57,2023-01-12 10:15:57,PATRe1063038619576463361,0.02991,2.991,59,2.991546632124352,2.9918367692307695,10:15:57,-0.000546632124351909,-1.049835841719795,0.000366985011976384,-0.020420230409099842
2023-01-12 10:15:58,2023-01-12 10:15:58,220220_1426601361_20230112-10:15,0.029915,2.9915,1,2.9915465116279067,2.991836251920123,10:15:58,-4.6511627906919983e-05,-0.358577767248922,0.0002807783911810358,0.03261039067946042
2023-01-12 10:16:09,2023-01-12 10:16:09,PATRe1063038669044084737,0.02991,2.991,11,2.991531407035176,2.9918223564954687,10:16:09,-0.000531407035175846,-0.8454760469886189,0.0002445838200301864,0.039897269764839094
2023-01-12 10:16:11,2023-01-12 10:16:11,TPSHe1063038678185717761,0.02991,2.991,2,2.99152875,2.9918198795180726,10:16:11,-0.0005287499999999667,-0.7291394271524749,0.00016116533873482551,-0.06754190799166006
2023-01-12 10:16:28,2023-01-12 10:16:28,ICAP2202207000589234,0.0299,2.99,17,2.991466426858513,2.9917744493392076,10:16:28,-0.001466426858512726,-1.5970272328997237,7.633594134066612e-05,-0.1000094322184509
2023-01-12 10:16:35,2023-01-12 10:16:35,PATRe1063038781669535745,0.0299,2.99,7,2.991442216981132,2.9917563953488377,10:16:35,-0.001442216981131672,-1.9913507140927524,-0.0003408604904389989,-0.42363115149746766
2023-01-12 10:16:38,2023-01-12 10:16:38,TPSHe1063038793931730945,0.0299,2.99,3,2.9914320843091335,2.9917487698986975,10:16:38,-0.0014320843091333302,-1.5227032510321592,-0.0005056359344805638,-0.4429646045759946
2023-01-12 10:16:39,2023-01-12 10:16:39,TPSHe1063038798373498884,0.0299,2.99,1,2.991428738317757,2.991746242774567,10:16:39,-0.0014287383177569168,-1.2872626839414472,-0.000570791560113415,-0.37030976756770834
2023-01-12 10:16:39,2023-01-12 10:16:39,TPSHe1063038797224259588,0.0299,2.99,0,2.991428738317757,2.991746242774567,10:16:39,-0.0014287383177569168,-1.0535636842428262,-0.000688235944036375,-0.3599423769118647
2023-01-12 10:16:40,2023-01-12 10:16:40,PATRe1063038799520493569,0.0299,2.99,1,2.991425407925408,2.991743722943723,10:16:40,-0.0014254079254079066,-0.9361662009512869,-0.0008996765510564053,-0.44221635673895004
2023-01-12 10:16:40,2023-01-12 10:16:40,PATRe1063038799503716353,0.0299,2.99,0,2.991425407925408,2.991743722943723,10:16:40,-0.0014254079254079066,-0.7658198388781267,-0.001027691349713411,-0.47247613629066587
2023-01-12 10:16:46,2023-01-12 10:16:46,BGC22022011009429060,0.0299,2.99,6,2.9914057471264366,2.9917287553648073,10:16:46,-0.0014057471264363741,-0.5750199175318338,-0.0011155689298190108,-0.4581173931461765
2023-01-12 10:16:50,2023-01-12 10:16:50,BGC22022011009429073,0.0299,2.99,4,2.991392938496583,2.9917189189189193,10:16:50,-0.0013929384965827296,-0.39182088855886266,-0.0012514924796719561,-0.5865031077346522
2023-01-12 10:16:50,2023-01-12 10:16:50,BGC22022011009429065,0.0299,2.99,0,2.991392938496583,2.9917189189189193,10:16:50,-0.0013929384965827296,-0.20458562467351057,-0.0013376456258126445,-0.6086708276523062
2023-01-12 10:16:54,2023-01-12 10:16:54,TJXT230112052024000000000149,0.0299,2.99,4,2.991380361173815,2.991709193776521,10:16:54,-0.0013803611738145705,2.0581635834512517,-0.001424064475470921,-0.6855181785637685
2023-01-12 10:16:54,2023-01-12 10:16:54,TJXT230112052024000000000150,0.0299,2.99,0,2.991380361173815,2.991709193776521,10:16:54,-0.0013803611738145705,1.7809504499646835,-0.0014154579070011053,-0.5749200520802795
2023-01-12 10:16:54,2023-01-12 10:16:54,TJXT230112052024000000000152,0.029875,2.9875,0,2.991380361173815,2.991709193776521,10:16:54,-0.0038803611738149613,-123.29769838692495,-0.0014092723262693952,-0.4677872068910542
2023-01-12 10:16:54,2023-01-12 10:16:54,TJXT230112052024000000000153,0.02985,2.985,0,2.991380361173815,2.991709193776521,10:16:54,-0.006380361173814908,-6.366889592127975,-0.0016541000127375583,-0.2684525179105512
2023-01-12 10:16:54,2023-01-12 10:16:54,TJXT230112052024000000000151,0.029875,2.9875,0,2.991380361173815,2.991709193776521,10:16:54,-0.0038803611738149613,-1.0873601468707856,-0.0021492622983433573,-0.21456119659923487
2023-01-12 10:17:10,2023-01-12 10:17:10,TJXT230112052024000000000154,0.0299,2.99,16,2.9913951768488745,2.9916691542288563,10:17:10,-0.0013951768488742466,0.6056405797644129,-0.0023944245839491616,-0.22407021229802895
2023-01-12 10:17:45,2023-01-12 10:17:45,ICAP2202207000589241,0.0299,2.99,35,2.9912540462427746,2.991539967373573,10:17:45,-0.0012540462427743648,0.6885960357931432,-0.002391401476295796,-0.22494573534656545
2023-01-12 10:17:45,2023-01-12 10:17:45,ICAP2202207000589240,0.0299,2.99,0,2.9912540462427746,2.991539967373573,10:17:45,-0.0012540462427743648,0.6738206232438235,-0.0023742653080324415,-0.22073901111920263
2023-01-12 10:17:56,2023-01-12 10:17:56,220220_1560820011_20230112-10:17,0.029895,2.9895,11,2.9912,2.9915040064102567,10:17:56,-0.0017000000000000348,0.3942140131300319,-0.0023590952196662408,-0.21753286453682685
2023-01-12 10:18:20,2023-01-12 10:18:20,BGC22022011009429201,0.0299,2.99,24,2.991037267080745,2.991448302469136,10:18:20,-0.0010372670807448081,0.8164292311814368,-0.0023898013700079713,-0.22731455645600154
2023-01-12 10:18:54,2023-01-12 10:18:54,BGC22022011009429245,0.0299,2.99,34,2.990938202247191,2.991271634615385,10:18:54,-0.0009382022471906559,0.8422240289749772,-0.002354234228424179,-0.21840988981418913
2023-01-12 10:18:54,2023-01-12 10:18:54,BGC22022011009429237,0.0299,2.99,0,2.990938202247191,2.991271634615385,10:18:54,-0.0009382022471906559,0.8013566057271808,-0.002310018335761788,-0.207575480033251
